contrast,dissimilarity,homogeneity,ASM,energy,correlation,entropy,y
249.2208683,3.346498599,0.691729513,0.354496946,0.595396461,0.951736144,0.27431449,0
131.1841737,2.412605042,0.728648462,0.404618877,0.636096594,0.972038389,0.198419953,0
179.430112,2.893137255,0.665147541,0.282918099,0.531900459,0.961566502,0.223038885,0
250.47507,3.553501401,0.675784526,0.335072009,0.578854048,0.950654397,0.271123608,0
212.9740896,3.768907563,0.619577173,0.259554057,0.509464481,0.961318024,0.322812146,0
279.4848739,3.501680672,0.687295556,0.341274049,0.584186656,0.954199978,0.249812172,0
233.7148459,2.993137255,0.719152926,0.392176439,0.626239921,0.963939516,0.22340562,0
232.9280112,3.305462185,0.676408348,0.324315834,0.569487343,0.954477798,0.269160073,0
192.8869748,2.622829132,0.748849155,0.443354822,0.665848949,0.966282972,0.196474222,0
164.2417367,2.928011204,0.686941589,0.332281236,0.576438406,0.968738247,0.218832273,0
266.9680672,3.642717087,0.642298816,0.270493903,0.520090284,0.952627772,0.253474875,0
291.019888,3.452240896,0.690862564,0.340708097,0.583702062,0.95563307,0.237962109,0
158.0182073,2.301260504,0.783746309,0.513110028,0.716316989,0.967826357,0.215295148,0
242.7715686,3.045098039,0.746754138,0.463521683,0.680824267,0.969192448,0.247669395,0
164.3656863,2.947058824,0.678818794,0.310644934,0.557355304,0.962871427,0.237999886,0
224.0464986,3.181652661,0.7112987,0.387723197,0.62267423,0.954727084,0.263035002,0
171.509944,2.890756303,0.667341763,0.292327509,0.5406732,0.958098607,0.208394519,0
250.7480392,3.203501401,0.717844936,0.3984994,0.631268089,0.953351683,0.255604011,0
126.0589636,2.603501401,0.671609837,0.288799628,0.537400807,0.959236915,0.21438804,0
260.0259104,3.606022409,0.66745192,0.304279653,0.551615494,0.944616059,0.23743955,0
237.9015406,3.417647059,0.677367807,0.330342274,0.574754099,0.961197706,0.259670817,0
186.8796919,3.021428571,0.66725911,0.311258778,0.557905707,0.967454667,0.274269078,0
104.6165266,2.379831933,0.689345989,0.324155339,0.569346414,0.971639932,0.204191562,0
252.6338936,3.449159664,0.683174609,0.333032331,0.577089534,0.947513296,0.231771165,0
267.1960784,3.470588235,0.691056204,0.343740016,0.586293455,0.9581238,0.246646787,0
211.8054622,3.15140056,0.666728553,0.305923703,0.5531037,0.957731684,0.234179524,0
211.8766106,3.011904762,0.689520153,0.343842566,0.586380906,0.965314259,0.250968899,0
305.4022409,3.585994398,0.694615612,0.345522072,0.587811255,0.943219081,0.210600547,0
235.8736695,2.903501401,0.725832507,0.394366462,0.627986037,0.962819229,0.218101712,0
117.8056022,2.409943978,0.718382752,0.372564447,0.610380576,0.966316654,0.221888044,0
243.0135854,3.134593838,0.707570964,0.367295732,0.606049282,0.956307747,0.211934905,0
267.4264706,3.685154062,0.634326345,0.25654045,0.506498223,0.947979649,0.263126159,0
127.9306723,2.256862745,0.754006734,0.433601441,0.658484199,0.961875915,0.182324999,0
273.8637255,3.5732493,0.661805038,0.300734853,0.548392973,0.944922913,0.247831245,0
190.9810924,3.12745098,0.656115293,0.287784918,0.536455886,0.946987504,0.2654434,0
270.1406162,3.619327731,0.668943291,0.308622076,0.555537646,0.951538717,0.25862852,0
167.5995798,3.010644258,0.666132232,0.300072568,0.547788799,0.953655232,0.196092403,0
259.4767507,3.504761905,0.651796132,0.276506985,0.525839315,0.954778849,0.241267405,0
168.845098,3.065966387,0.649430091,0.271862716,0.52140456,0.962027074,0.260250103,0
134.3026611,2.644957983,0.664185461,0.275751114,0.525120095,0.96090422,0.195305372,0
201.7387955,3.126890756,0.693172277,0.343675225,0.586238198,0.955027072,0.219150129,0
251.2981793,3.159803922,0.709187403,0.366484427,0.605379573,0.953539727,0.205989347,0
259.559944,3.371428571,0.692229776,0.357886939,0.598236524,0.961511751,0.292477002,0
215.7564426,3.142577031,0.672548659,0.300664844,0.548329139,0.960356596,0.204439676,0
152.5676471,2.836134454,0.666603516,0.292585976,0.54091217,0.967039765,0.218138831,0
299.6768908,3.694257703,0.678650884,0.327703199,0.572453665,0.957857995,0.237921901,0
120.8473389,2.683893557,0.631877816,0.222927946,0.47215246,0.962589768,0.170342246,0
98.9627451,2.61302521,0.663283832,0.29706515,0.545036833,0.970893983,0.243813386,0
241.0243697,3.063445378,0.736194359,0.4277945,0.654060013,0.954424702,0.204757407,0
